عين بويحيى;44
عين الدفلى;44
عين لشياخ;44
عين بنيان;44
عريب;44
عين سلطان;44
عين تركي;44
بن علال;44
بربوش;44
برج الأمير خالد;44
بومدفع;44
بلعاص;44
بئر أولاد خليفة;44
بوراشد;44
بطحية;44
جليدة;44
جندل;44
جمعة ولاد الشيخ;44
العبادية;44
حسينية;44
الماين;44
العامرة;44
العطاف;44
الحسنية;44
حمام ريغة;44
خميس مليانة;44
المخاطرية;44
مليانة;44
واد الشرفاء;44
وادي الجمعة;44
الروينة;44
سيدي الأخضر;44
تيبركانين;44
طارق بن زياد;44
تاشتة زقاغة;16
زدين;16
عين البنيان;16
الجزائر الوسطى;16
بلدية عين طاية;16
بلدية بن عكنون;16
بلدية برج البحري;16
بئر خادم;16
باب الزوار;16
بلدية بابا حسن;16
بولوغين;16
بلدية باش جراح;16
برج الكيفان;16
بير مراد رايس;16
باب الوادي;16
براقي;16
بني مسوس;16
بلدية بئر توتة;16
بلدية بوروبة;16
بوزريعة;16
قصبة ;16
بلدية الشراقة;16
الدار البيضاء;16
بلدية دالي إبراهيم;16
جسر قسنطينة ;16
بلدية دويرة;16
درارية;16
بلدية العاشور;16
الأبيار;16
المدنية;16
بلدية المقارية;16
الحراش;16
بلدية المرادية;16
الحمامات;16
هراوة;16
الداي حسين;16
حيدرة;16
بلدية خرايسية;16
القبة;16
الكاليتوس;16
بلوزداد;16
المحالمة;16
المحمدية;16
بلدية المرسى;16
بلدية أولاد شبل;16
أولاد فايت;16
بلدية واد قريش;16
بلدية وادي السمار;16
بلدية الرحمانية;16
بلدية الرغاية;16
رايس حميدو بن علي;16
الرويبة;16
بلدية السحاولة;16
سيدي امحمد;16
سيدي موسى;16
السويدانية;16
سطاوالي;16
بلدية تسالة المرجة;16
زرالدة;16
عين الباردة;23
عنابة;23
دائرة برحال;23
الشرفة;23
شطايبي;23
البوني;23
العلمة;23
الحجار;23
وادي العنب;23
سيدي عمار;23
سرايدي;23
تريعات;23
أدرار;1
أوقروت;1
أقبلي;1
أولف;1
برج باجي مختار;1
يودة;1
شروين;1
دلدول;1
فنوغيل;1
إن زغمير;1
قصر قدور;1
المطارفة ;1
أولاد عيسى;1
أولاد السعيد ;1
أولاد أحمد تيمي;1
رقان;1
سالي;1
السبع;1
تيمقتن;1
تامست;1
تيمياوين;1
تنيركوك;1
طالمين;1
تيميمون;1
تامنطيت;1
تسابيت;1
تيت;1
زاوية كنتة;1
عين الاربعاء;46
عين الطلبة;46
آغلال;46
عين الكيحل;46
عقب الليل;46
عين تموشنت;46
بني صاف;46
بوزجار;46
شعبة اللحم;46
شنتوف;46
العامرية;46
عبد القادر الجزائري;46
المالح;46
امسعيد;46
الحساسنة;46
حمام بوحجر;46
حاسى الغلة;46
وادي برقش;46
ولهاصة;46
اولاد بوجمعة;46
اولاد الكيحل;46
وادي الصباح;46
سيدي بن عدة;46
شعيب أبو مدين;46
سيدي أورياش;46
سيدي الصافي;46
تامزوغة;46
تارقة;46
عين تاغروت;34
بلدية عين تسرة;34
برج بوعريريج;34
بن داود;34
بليمور;34
برج الغدير;34
بئر قصد علي;34
برج زمورة;34
القلة;34
الجعافرة;34
العش;34
الحمادية;34
المهير;34
الماين;34
اليشير;34
بلدية العناصر;34
غيلاسة;34
حسناوة;34
حرازة;34
خلـيل;34
القصور;34
المنصورة;34
مجانة;34
أولاد براهم;34
أولاد دحمان;34
أولاد سيدي إبراهيم;34
الرابطة;34
رأس الواد;34
سيدي امبارك;34
تاسمرت;34
تفرق;34
تقلعيت;34
تكستار;34
ثنية النصر;34
العبادلة;8
بني عباس;8
بشار;8
بني يخلف;8
بوكايس;8
بني ونيف;8
عرق فراج;8
الواتة;8
إقلي;8
القنادسة;8
القصابي;8
كرزاز;8
لحمر;8
مريجة;8
مشرع هواري بومدين;8
موغل;8
أولاد خضير;8
تاغيث;8
تبلبالة;8
تيمودي;8
تامترت;8
أقبو;6
آدكار;6
أكفادو;6
أمالو;6
أوقاس;6
آيت أرزين;6
آيت سماعيل;6
أميزور;6
برباشة;6
بني جليل;6
بني معوش;6
بوحمزة;6
بجاية;6
بنى كسيلة;6
بوجليل;6
بني مليكش;6
بوخليفة;6
شلاطة;6
شميني;6
درقينة;6
ذراع القايد;6
لفلاي;6
القصر;6
فرعون;6
فناية الماثن;6
إغيل علي;6
آغرام;6
كنديرة;6
خراطة;6
ملبو;6
مسيسنة;6
وادي غير;6
أوزلاقن;6
سيدي عيش;6
سيدي عياد;6
صدوق;6
سمعون;6
سوق أوفلة;6
سوق الإثنين;6
تمقرة;6
طيبان;6
تيشي;6
تينبذار;6
تيفرة;6
تالة حمزة;6
تاوريرت آغيل;6
تامريجت;6
تاسكريوت;6
تيمزريت;6
تيزي أنبربار;6
توجة;6
تازمالت;6
عين الرمانة;9
بوعرفة ;9
بن خليل;9
بوفاريك;9
بوقرة;9
البليدة;9
بني مراد;9
بوينان;9
بني تامو;9
الشبلي;9
الشفة;9
الشريعة;9
الجبابرة;9
العفرون;9
قرواو;9
حمام ملوان;9
